|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşgücü (Bin)|1. (15+)|2014|27260.0|27824.0|28330.0|28773.0|29089.0|29240.0|29276.0|29257.0|29233.0|29181.0|28970.0|28787.0|
||2015|28713.0|28803.0|29022.0|29459.0|29861.0|30141.0|30311.0|30208.0|30259.0|30003.0|29801.0|29652.0|
||2016|29565.0|29680.0|30016.0|30462.0|30763.0|30778.0|30961.0|30967.0|31087.0|30914.0|30781.0|30540.0|
||2017|30658.0|30855.0|31131.0|31444.0|31713.0|31954.0|32200.0|32233.0|32215.0|31932.0|31790.0|31579.0|
||2018|31438.0|31520.0|31709.0|32095.0|32274.0|32629.0|32796.0|32989.0|32813.0|32658.0|32295.0|31957.0|
||2019|31825.0|32084.0|32339.0|32401.0|32426.0|32766.0|33113.0|33180.0|33006.0|32740.0|32477.0|32052.0|
||2020|31629.0|30982.0|30104.0|29388.0|29684.0|30632.0|31491.0|31749.0|31724.0|31452.0|31071.0||
|2. (15-24)|2014|4391.0|4475.0|4562.0|4657.0|4840.0|5018.0|5173.0|5117.0|5031.0|4804.0|4715.0|4676.0|
||2015|4683.0|4594.0|4630.0|4692.0|4881.0|5147.0|5405.0|5417.0|5308.0|5011.0|4865.0|4778.0|
||2016|4731.0|4714.0|4758.0|4867.0|5062.0|5210.0|5400.0|5348.0|5205.0|5082.0|5001.0|4945.0|
||2017|4857.0|4845.0|4874.0|4923.0|5150.0|5399.0|5645.0|5542.0|5359.0|5108.0|5049.0|4953.0|
||2018|4872.0|4867.0|4901.0|4971.0|5095.0|5417.0|5627.0|5639.0|5411.0|5238.0|5101.0|5026.0|
||2019|4984.0|5057.0|5077.0|5035.0|5085.0|5306.0|5575.0|5535.0|5361.0|5107.0|5026.0|4944.0|
||2020|4783.0|4556.0|4235.0|4028.0|4135.0|4461.0|4802.0|4942.0|4907.0|4792.0|4663.0||
|3. (15-64)|2014|26666.0|27188.0|27672.0|28096.0|28387.0|28525.0|28571.0|28567.0|28542.0|28447.0|28247.0|28058.0|
||2015|28007.0|28054.0|28267.0|28701.0|29094.0|29373.0|29546.0|29469.0|29504.0|29244.0|29051.0|28892.0|
||2016|28808.0|28918.0|29263.0|29692.0|29984.0|30007.0|30218.0|30215.0|30313.0|30142.0|30021.0|29792.0|
||2017|29871.0|30053.0|30335.0|30626.0|30890.0|31115.0|31365.0|31378.0|31377.0|31105.0|30983.0|30746.0|
||2018|30594.0|30658.0|30835.0|31207.0|31386.0|31756.0|31919.0|32093.0|31907.0|31763.0|31441.0|31128.0|
||2019|31025.0|31254.0|31502.0|31533.0|31548.0|31863.0|32217.0|32274.0|32096.0|31824.0|31579.0|31198.0|
||2020|30815.0|30204.0|29347.0|28644.0|28943.0|29867.0|30686.0|30950.0|30926.0|30665.0|30292.0||
|||||||||||||||
