|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsizlik Oranı (%)|1. (15+) ve Erkek|2014|9.8|9.6|9.1|8.4|8.0|8.3|8.8|8.9|9.1|9.1|9.7|10.2|
||2015|10.6|10.3|9.6|8.7|8.4|8.6|8.6|8.8|8.9|9.3|9.4|9.9|
||2016|10.3|10.1|9.3|8.4|8.6|9.1|9.2|9.5|9.3|9.8|10.2|11.3|
||2017|11.9|11.7|10.5|9.1|8.8|8.6|8.8|8.4|8.5|8.5|8.8|9.1|
||2018|9.6|9.3|8.8|8.3|8.4|8.7|9.1|9.2|9.7|10.1|11.2|12.5|
||2019|13.8|13.7|13.0|11.9|11.8|11.7|12.5|12.3|12.1|11.7|11.7|12.3|
||2020|12.6|12.8|12.7|12.7|12.7|12.9|12.4|11.9|11.3|11.5|11.9||
|1. (15+) ve Kadın|2014|11.6|11.5|11.0|10.2|10.5|10.9|12.0|12.7|13.6|13.3|13.0|12.6|
||2015|13.1|13.2|12.9|11.5|11.5|11.6|12.5|13.1|13.3|13.2|13.0|12.9|
||2016|13.0|12.7|11.8|11.2|11.2|12.4|14.0|15.1|15.5|16.0|16.0|15.7|
||2017|15.4|14.8|14.3|13.2|13.0|13.5|14.6|15.0|14.9|14.0|13.4|13.1|
||2018|13.4|13.4|12.9|12.3|12.4|13.2|14.3|15.1|15.0|14.7|14.7|15.4|
||2019|16.5|16.9|16.2|15.2|14.9|15.6|16.7|17.6|17.3|17.0|16.6|16.8|
||2020|16.3|15.6|14.3|13.2|13.3|14.5|15.5|15.9|15.7|15.5|15.0||
|||||||||||||||
