|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsiz (Bin)|1. (15+) ve 3. (15-19) ve 11. (1-2 Ay)|2014|107.0|108.0|110.0|103.0|145.0|201.0|241.0|211.0|166.0|146.0|145.0|136.0|
||2015|124.0|116.0|118.0|113.0|157.0|215.0|242.0|213.0|175.0|168.0|162.0|157.0|
||2016|141.0|125.0|108.0|115.0|179.0|225.0|239.0|187.0|162.0|144.0|154.0|154.0|
||2017|134.0|133.0|100.0|115.0|175.0|250.0|295.0|234.0|175.0|126.0|124.0|121.0|
||2018|115.0|106.0|95.0|119.0|180.0|236.0|258.0|223.0|200.0|175.0|168.0|153.0|
||2019|152.0|139.0|134.0|118.0|190.0|273.0|334.0|275.0|198.0|146.0|140.0|146.0|
||2020|132.0|124.0|105.0|111.0|117.0|144.0|164.0|163.0|143.0|119.0|114.0||
|1. (15+) ve 3. (15-19) ve 12. (3-5 Ay)|2014|61.0|60.0|60.0|55.0|63.0|68.0|67.0|59.0|68.0|75.0|81.0|75.0|
||2015|92.0|91.0|84.0|63.0|53.0|63.0|62.0|68.0|67.0|83.0|87.0|79.0|
||2016|77.0|71.0|66.0|55.0|53.0|59.0|56.0|65.0|61.0|77.0|85.0|105.0|
||2017|100.0|93.0|86.0|72.0|60.0|45.0|50.0|58.0|74.0|76.0|79.0|75.0|
||2018|74.0|68.0|63.0|52.0|40.0|39.0|48.0|67.0|77.0|91.0|95.0|109.0|
||2019|127.0|134.0|111.0|90.0|61.0|70.0|79.0|96.0|94.0|92.0|82.0|89.0|
||2020|91.0|85.0|72.0|58.0|62.0|82.0|87.0|96.0|82.0|89.0|77.0||
|1. (15+) ve 3. (15-19) ve 13. (6-8 Ay)|2014|26.0|30.0|30.0|38.0|31.0|24.0|24.0|23.0|24.0|18.0|18.0|19.0|
||2015|17.0|22.0|22.0|30.0|23.0|25.0|21.0|22.0|23.0|19.0|16.0|19.0|
||2016|28.0|38.0|31.0|26.0|19.0|17.0|16.0|17.0|21.0|24.0|31.0|34.0|
||2017|42.0|39.0|45.0|36.0|28.0|15.0|14.0|17.0|16.0|13.0|14.0|23.0|
||2018|28.0|35.0|33.0|33.0|26.0|20.0|17.0|16.0|14.0|8.0|21.0|32.0|
||2019|53.0|48.0|51.0|41.0|38.0|30.0|26.0|24.0|19.0|21.0|30.0|34.0|
||2020|35.0|40.0|39.0|39.0|27.0|29.0|25.0|34.0|30.0|33.0|31.0||
|1. (15+) ve 3. (15-19) ve 14. (9-11 Ay)|2014|5.0|10.0|9.0|12.0|10.0|10.0|5.0|5.0|4.0|8.0|10.0|11.0|
||2015|9.0|7.0|9.0|10.0|10.0|7.0|7.0|5.0|5.0|5.0|5.0|3.0|
||2016|2.0|3.0|4.0|7.0|9.0|11.0|9.0|8.0|6.0|5.0|3.0|2.0|
||2017|6.0|6.0|12.0|20.0|22.0|19.0|12.0|10.0|8.0|7.0|6.0|5.0|
||2018|8.0|10.0|13.0|10.0|11.0|12.0|13.0|10.0|10.0|5.0|8.0|5.0|
||2019|10.0|11.0|18.0|26.0|23.0|23.0|12.0|12.0|8.0|7.0|6.0|5.0|
||2020|7.0|8.0|11.0|17.0|16.0|15.0|11.0|14.0|13.0|13.0|15.0||
|1. (15+) ve 3. (15-19) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|18.0|15.0|25.0|31.0|32.0|24.0|18.0|25.0|27.0|28.0|18.0|23.0|
||2015|28.0|29.0|24.0|21.0|19.0|19.0|22.0|22.0|25.0|21.0|24.0|24.0|
||2016|21.0|19.0|15.0|19.0|20.0|27.0|26.0|24.0|21.0|24.0|27.0|39.0|
||2017|37.0|33.0|19.0|17.0|18.0|19.0|23.0|28.0|30.0|25.0|21.0|24.0|
||2018|27.0|24.0|20.0|25.0|29.0|37.0|33.0|35.0|34.0|38.0|38.0|34.0|
||2019|33.0|28.0|29.0|30.0|34.0|34.0|41.0|42.0|42.0|35.0|36.0|37.0|
||2020|35.0|34.0|29.0|25.0|26.0|34.0|40.0|38.0|39.0|37.0|43.0||
|1. (15+) ve 3. (15-19) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|6.0|6.0|4.0|4.0|3.0|5.0|9.0|7.0|7.0|3.0|3.0|2.0|
||2015|3.0|3.0|5.0|5.0|6.0|6.0|8.0|8.0|7.0|2.0|3.0|3.0|
||2016|3.0|1.0|1.0|3.0|3.0|3.0|5.0|5.0|8.0|5.0|6.0|3.0|
||2017|2.0|2.0|3.0|3.0|2.0|1.0|2.0|3.0|7.0|6.0|9.0|9.0|
