|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsiz (Bin)|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 11. (1-2 Ay)|2014|37.0|35.0|26.0|26.0|24.0|29.0|35.0|37.0|42.0|43.0|42.0|41.0|
||2015|39.0|35.0|24.0|17.0|21.0|24.0|26.0|28.0|30.0|31.0|28.0|30.0|
||2016|33.0|27.0|18.0|13.0|15.0|19.0|20.0|23.0|22.0|20.0|23.0|25.0|
||2017|28.0|24.0|20.0|18.0|21.0|20.0|21.0|21.0|25.0|26.0|31.0|32.0|
||2018|29.0|20.0|18.0|21.0|23.0|24.0|28.0|38.0|35.0|27.0|25.0|35.0|
||2019|50.0|53.0|44.0|27.0|18.0|20.0|22.0|19.0|18.0|21.0|23.0|29.0|
||2020|32.0|31.0|26.0|21.0|21.0|19.0|15.0|16.0|19.0|23.0|20.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 12. (3-5 Ay)|2014|23.0|28.0|29.0|23.0|18.0|12.0|10.0|11.0|16.0|16.0|19.0|18.0|
||2015|24.0|16.0|17.0|8.0|10.0|8.0|7.0|7.0|12.0|12.0|16.0|20.0|
||2016|29.0|29.0|24.0|14.0|10.0|3.0|6.0|9.0|15.0|21.0|23.0|33.0|
||2017|31.0|29.0|17.0|13.0|9.0|14.0|15.0|16.0|10.0|12.0|12.0|19.0|
||2018|18.0|17.0|10.0|9.0|6.0|6.0|4.0|5.0|5.0|9.0|11.0|15.0|
||2019|30.0|46.0|47.0|40.0|23.0|20.0|14.0|21.0|19.0|21.0|17.0|25.0|
||2020|40.0|38.0|32.0|16.0|17.0|16.0|18.0|14.0|11.0|8.0|7.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 13. (6-8 Ay)|2014|4.0|4.0|10.0|14.0|13.0|8.0|4.0|5.0|4.0|6.0|6.0|5.0|
||2015|3.0|3.0|6.0|8.0|7.0|8.0|5.0|5.0|4.0|7.0|7.0|7.0|
||2016|4.0|5.0|3.0|6.0|5.0|6.0|2.0|2.0|1.0|1.0|3.0|4.0|
||2017|6.0|10.0|9.0|11.0|6.0|7.0|2.0|4.0|3.0|3.0|3.0|4.0|
||2018|6.0|7.0|10.0|9.0|6.0|5.0|5.0|7.0|6.0|5.0|5.0|7.0|
||2019|9.0|9.0|9.0|11.0|11.0|11.0|8.0|8.0|5.0|4.0|4.0|11.0|
||2020|13.0|12.0|9.0|9.0|6.0|5.0|7.0|8.0|7.0|6.0|7.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 14. (9-11 Ay)|2014|0.0|0.0|0.0|0.0|2.0|2.0|3.0|2.0|3.0|2.0|2.0|2.0|
||2015|2.0|4.0|5.0|4.0|3.0|0.0|4.0|5.0|5.0|1.0|-9.93E8|0.0|
||2016|1.0|4.0|3.0|4.0|3.0|4.0|4.0|2.0|2.0|2.0|2.0|2.0|
||2017|2.0|4.0|3.0|4.0|3.0|3.0|3.0|4.0|3.0|2.0|1.0|1.0|
||2018|5.0|4.0|5.0|2.0|2.0|1.0|1.0|2.0|2.0|1.0|0.0|1.0|
||2019|3.0|3.0|6.0|6.0|7.0|4.0|4.0|4.0|3.0|3.0|2.0|1.0|
||2020|1.0|1.0|2.0|2.0|2.0|1.0|2.0|2.0|4.0|3.0|4.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|7.0|6.0|11.0|9.0|10.0|5.0|4.0|6.0|9.0|16.0|15.0|10.0|
||2015|4.0|5.0|7.0|6.0|4.0|3.0|6.0|9.0|9.0|8.0|7.0|9.0|
||2016|10.0|9.0|8.0|9.0|8.0|7.0|8.0|8.0|9.0|10.0|11.0|10.0|
||2017|8.0|9.0|8.0|12.0|9.0|12.0|10.0|11.0|9.0|6.0|6.0|5.0|
||2018|10.0|12.0|13.0|7.0|3.0|6.0|10.0|14.0|13.0|12.0|13.0|14.0|
||2019|19.0|16.0|15.0|14.0|14.0|16.0|18.0|18.0|17.0|15.0|14.0|13.0|
||2020|11.0|12.0|10.0|8.0|12.0|11.0|9.0|7.0|10.0|12.0|13.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|2.0|1.0|1.0|-9.93E8|0.0|2.0|2.0|2.0|0.0|1.0|1.0|1.0|
||2015|1.0|-9.93E8|-9.93E8|1.0|1.0|1.0|3.0|4.0|4.0|3.0|2.0|3.0|
||2016|3.0|4.0|3.0|2.0|1.0|1.0|1.0|-9.93E8|1.0|2.0|2.0|1.0|
